,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,chi
149,0.1426823758835132,-0.10070372363804199,-0.1110104721001793,-0.09436190315810558,2.0787986747651237,4.349502476015127,3.647143432288757,0.0903480805918078,117.84077989273993
150,0.1362812657350379,-0.1228581380793181,-0.1261597408302131,-0.09100905888168244,2.2391052316144315,4.28817356727992,4.029085006994261,0.0873749529370539,117.91927868862051
152,0.0694989946137814,-0.0802721529250438,-0.0979640848755977,-0.037393879042700535,2.098876565670523,2.5737641621143657,1.027808901924387,0.06046858824097717,118.30419165191108
154,0.088315524594015,-0.09917859919189427,-0.08801979628040155,-0.057555629541080074,1.686708282416406,3.25500808358693,2.626277628538712,0.06573036839757193,111.231545104557
155,0.07864656705327573,-0.10556688865903599,-0.1328115267105162,-0.04316005414362517,2.475462387569642,3.112526133129091,1.8999242890420904,0.06328415587146266,110.31205007755085
158,0.08160877209391576,-0.1009191853551908,-0.1443316265365488,-0.04892172388895906,2.49462656130718,3.066239432489744,2.128448479593032,0.05531103432581611,111.36800233954479
162,0.1250852956462854,-0.1101781964845914,-0.1216122523803873,-0.0780694742530974,2.0832248799129163,4.613159331131493,3.652845821388884,0.07766272995104505,111.41882889073084
165,0.05776884904319755,-0.09911531791865433,-0.07015439458060119,-0.03169819842146791,1.729293236936964,2.358151118953719,1.4086486269254208,0.05274546679166997,120.33561747821324
166,0.05387778156746728,-0.09880111156342264,-0.071723411240284,-0.02327605674559942,1.6381029893939485,2.600358752691732,0.860360286630413,0.05046372132804546,119.65631045544384
168,0.1598224337108521,-0.09885291391315497,-0.1573952300709578,-0.09561973135377376,2.4826822805785467,5.397435405993552,4.049138919453819,0.08338361888935668,116.33578295678491
169,0.1329327589839834,-0.1075375786072695,-0.1159440364835024,-0.08265934555659919,2.162909445431056,4.706283066763054,3.934411718289952,0.08014162367650719,115.5963787156728
170,0.1178556665780033,-0.1052306661471957,-0.1226405835646285,-0.07825864809420091,2.2616145571914466,3.583902101830916,2.85084290102277,0.08071099495025344,107.40742557515574
173,0.08001712608558985,-0.09934994311396024,-0.1438094403099773,-0.042033960940407435,2.556042593568808,2.9555567003872683,1.4944071092515558,0.06091900395024907,109.2380848166076
177,0.09091802447257877,-0.09220335321086913,-0.1152270179841656,-0.04691241770940797,2.079707585414952,3.8850592055357938,2.5089284750867407,0.05751812448753418,113.99210581178579
178,0.08560564586607818,-0.1030772168019509,-0.1151536363423944,-0.04621453595732528,2.183695918370117,3.2358666881204647,1.915838155632025,0.06504449069774386,107.09181984727688
180,0.07140355842925165,-0.1061354274766287,-0.1455936531356938,-0.04874959077139269,2.4909490906114047,2.9743497369418685,2.669674576673223,0.05512006334138495,115.52510911608823
182,0.1130434187905956,-0.0962328611948952,-0.1455658031017066,-0.06220202701963343,2.573232866788082,4.421330045213611,2.725174898678848,0.06789148702926973,109.41787132954781
